time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-6.508837977451989e-08,2.599986250012453e-09,10.001938561001575,3.561312492017521e-06,7.973612028155941e-05,0.0,-6.147926881501727e-06,2.5923383497170504e-07,0.06461663345857714,0.0001778126713049739,0.0038626716143738034,0.0,425.7512761494845,426.0815450223383,425.12718915072054,425.1424204301584
0.12000000000000001,-3.7354062551173164e-06,8.611616651750105e-08,10.011907844343476,6.283114208014872,0.0006231833102114948,0.0,-0.0001635533376256747,-1.0357371994611146e-06,0.2676664900886919,-0.004252458831654397,0.017823090344483726,0.0,467.66856027407437,468.7543747204858,468.90185446154743,468.5576502476987
0.18,-3.2824811023278574e-05,-2.5465713961607824e-06,10.033570070073791,6.283028453491394,0.0018563689619330859,0.0,-0.0009388365756979859,-0.000105687068108726,0.45435133513756043,0.0036916969272597147,0.02551908717449041,0.0,462.9160954905315,463.5211609187415,463.8478043768933,464.47117994299305
0.23999999999999996,-0.00013124724821543917,-1.117824726294411e-05,10.062856446319016,5.0058630371552226e-05,0.0033462618853956627,0.0,-0.002488696882456682,-0.00016120829718426765,0.5218319908964886,0.0029577036087855514,0.023419936206029012,0.0,425.71324341432313,425.533742596992,427.7806644335041,427.71810103908626
0.3,-0.00035001986715788345,-1.778825852032462e-05,10.095786223518553,0.0012622115500784403,0.004608154551930532,0.0,-0.004931037259810191,1.909789648025457e-05,0.575800698807465,0.04199293532047045,0.015767222147937375,0.0,423.1449822834651,422.485797901538,420.1756027290297,423.545755332082
0.36000000000000004,-0.0007637381452654945,2.6003721232242042e-05,10.137280878185917,0.0038885631041178925,0.005701488386516296,0.0,-0.008983272659461713,0.0017531852801016524,0.807218339888581,0.04711230947486025,0.02272816132782298,0.0,476.79498764153186,477.3263385591695,477.05888192646734,477.4504944405865
0.4200000000000001,-0.0014282287980896503,0.00022515663251871022,10.189145808321802,0.007387362141499487,0.006773624849985005,0.0,-0.013295226568367298,0.005220672100281751,0.9215245717059439,0.07447057475995217,0.00574865128765565,0.0,442.70550571234395,441.3063147915736,441.06925821599583,443.32487718890746
0.48000000000000015,-0.0023846476905391486,0.0007286121961701738,10.249942304370796,0.011527341379269807,0.007389325123646984,0.0,-0.01864067683029484,0.012055653273514249,1.1048611086595836,0.054859552730879176,0.018030699232709013,0.0,462.8387744440387,463.804162437864,464.39287840662547,462.85553509494383
0.5400000000000001,-0.003660958312824645,0.0017045507808751386,10.31937732472481,0.014364081413372531,0.008438401625909364,0.0,-0.024011671003481033,0.020796954289866852,1.2095292970942773,0.024384949375036866,0.016369501543557072,0.0,438.8214066119962,438.6834348438135,441.7772666060281,439.25882423715484
0.6000000000000002,-0.005287164827570446,0.0032651414195567106,10.395661691884554,0.015447313600163604,0.010269232458845146,0.0,-0.030352145723376047,0.03135993137324953,1.3331429767678706,0.0007293408732333313,0.049598039785730935,0.0,445.0578225424933,447.76921034188905,446.20146166101824,444.2662434701884
0.6600000000000003,-0.007383120902266235,0.005539227467000219,10.483392842700905,0.015299616188922727,0.013171312834546534,0.0,-0.039878141480389595,0.044432476073703535,1.5909019867402727,-0.009761151583526731,0.04578780048319417,0.0,486.8656564834186,486.5817345429708,485.9566124132949,485.1697496503208
0.7200000000000003,-0.010034666601098292,0.008492389218464702,10.580100302589447,0.0145643348293234,0.016027529258265893,0.0,-0.04876777684520762,0.05394403054071602,1.6326179866186152,-0.01777711146305956,0.051007050198815816,0.0,420.1321026080741,420.5858587105852,421.16723237500497,420.4735195980945
0.7800000000000004,-0.013316194841025279,0.012036772091779634,10.681820620904658,0.013503643243884866,0.018850542807518522,0.0,-0.06092610351333358,0.06408673684740665,1.7578706801705382,-0.0174810994394001,0.03765345630503614,0.0,449.04176573269814,447.95856587185057,446.4830201661521,446.5072400582637
0.8400000000000004,-0.017381150122976804,0.016165133626426385,10.790864274026132,0.012973527150809794,0.02131145401702117,0.0,-0.0748169302784,0.0734440485489134,1.8767255604332616,0.004448765616452614,0.04700776655214269,0.0,445.6286004199615,446.3934052862153,444.92126930921773,446.7130712145662
0.9000000000000005,-0.02227119021569092,0.020810738063799607,10.904169896736986,0.013150177149421793,0.024138993420469212,0.0,-0.08843968643791329,0.08142896781190209,1.900083063134371,-0.0002491466093005705,0.047360323326302994,0.0,416.23756077122795,416.26990948110483,414.92542156482665,414.51274857423755
0.9600000000000005,-0.028170666822916794,0.026012339472647427,11.024526771118095,0.013394666312947834,0.027444433759903575,0.0,-0.10856862531900423,0.09196757977450457,2.111435988278121,0.011560940958512119,0.06724970617578821,0.0,472.0964629359933,473.63030061566894,475.48561534255543,476.3894000720685
1.0200000000000005,-0.035295624561961746,0.03182270857563569,11.155189203592027,0.013902154467777095,0.030918267988417902,0.0,-0.12934166076395912,0.10177268271605988,2.2437133591289755,0.0013903834667939536,0.022561293893245696,0.0,453.67205446028294,450.0716515256935,451.3646028526196,450.542983347333
1.0800000000000005,-0.043831182091641954,0.03827456328732768,11.296999262745654,0.013725575056824368,0.032429652658358066,0.0,-0.155338158299885,0.11327855253632166,2.4827932124209053,-0.013444273802566109,0.029986572961309108,0.0,483.74205658903554,484.30089572134904,484.09458866929765,482.97714073402057
1.1400000000000006,-0.0538902950473934,0.045376443509893394,11.450807371248551,0.012876872805346551,0.03498692493890854,0.0,-0.18020445788631456,0.1233536202328122,2.643775975628274,-0.015584699839985627,0.06025191800581106,0.0,459.6110459244434,462.0042842001246,462.8292885576839,462.660920901684
